Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Tyrese Martin,26,BRK,SG,8,2,167,11.2,.504,.600,.133,4.9,13.8,9.0,17.6,0.9,0.5,9.9,17.5,0.1,-0.1,0.0,.005,-0.1,-2.8,-2.9,0.0,
Kris Dunn,31,LAC,PG,7,1,167,11.0,.613,.410,.103,5.7,8.6,7.2,8.4,3.6,0.6,19.7,13.2,0.1,0.1,0.2,.049,-3.6,0.5,-3.1,0.0,
Chet Holmgren,23,OKC,PF,5,5,167,21.2,.705,.424,.542,6.0,23.2,14.8,9.0,1.8,5.0,17.0,22.8,0.4,0.4,0.7,.213,2.6,2.0,4.6,0.3,
Jarrett Allen,27,CLE,C,6,6,165,21.9,.661,.053,.561,7.3,23.8,15.3,9.6,2.9,2.9,10.1,19.9,0.4,0.3,0.7,.212,1.4,1.5,3.0,0.2,
Moses Moody,23,GSW,SG,7,1,164,16.9,.696,.719,.333,1.4,12.7,7.0,10.1,1.7,4.4,13.3,19.6,0.3,0.2,0.5,.141,2.3,0.5,2.8,0.2,
Klay Thompson,35,DAL,SF,8,7,163,7.0,.455,.658,.055,1.3,14.3,7.9,13.7,0.6,1.4,12.8,22.3,-0.4,0.2,-0.2,-0.058,-2.8,-1.6,-4.5,-0.1,
Tim Hardaway Jr.,33,DEN,SG,7,0,163,13.4,.657,.667,.123,1.5,5.8,3.8,6.4,1.2,0.0,3.2,16.0,0.3,0.2,0.5,.151,1.1,-0.9,0.1,0.1,
Kel'el Ware,21,MIA,C,8,5,162,18.8,.662,.436,.255,9.5,28.4,19.3,4.2,2.3,4.1,14.1,18.2,0.2,0.3,0.6,.166,0.3,1.0,1.4,0.1,
Kyle Kuzma,30,MIL,PF,7,1,161,14.9,.611,.281,.344,2.8,16.8,10.0,7.9,1.2,2.2,14.0,22.8,0.1,0.1,0.2,.063,-2.0,-1.3,-3.2,-0.1,
Josh Okogie,27,HOU,SG,7,5,161,15.3,.740,.639,.500,3.7,5.2,4.5,8.9,2.1,0.6,6.4,12.1,0.5,0.2,0.7,.210,1.4,0.9,2.3,0.2,
Jaylin Williams,23,OKC,PF,9,1,160,12.4,.482,.891,.087,4.2,24.3,14.5,16.4,2.1,3.9,11.2,14.5,0.0,0.4,0.4,.124,-1.6,1.8,0.2,0.1,
Moussa Diabaté,24,CHO,C,8,0,159,22.9,.675,.000,.702,20.3,19.0,19.6,4.6,1.2,5.3,7.5,17.3,0.6,0.1,0.7,.225,1.6,-1.4,0.2,0.1,
Simone Fontecchio,30,MIA,SF,8,0,159,15.8,.693,.651,.175,3.5,9.7,6.7,9.6,1.4,1.2,11.7,20.0,0.3,0.2,0.4,.135,2.3,0.2,2.5,0.2,
Patrick Williams,24,CHI,PF,7,0,157,12.7,.598,.614,.318,3.0,10.3,6.9,11.3,2.1,2.0,10.7,14.9,0.2,0.2,0.4,.111,-0.4,1.0,0.6,0.1,
Zion Williamson,25,NOP,PF,5,5,157,22.3,.553,.000,.731,10.2,13.6,11.7,27.2,3.1,0.7,14.2,32.3,0.1,0.1,0.2,.070,2.1,-1.3,0.8,0.1,
Keon Ellis,26,SAC,SG,8,1,156,12.6,.655,.675,.200,2.2,8.7,5.4,5.0,3.9,0.6,8.4,12.9,0.2,0.2,0.3,.101,-1.4,2.2,0.8,0.1,
Kris Murray,25,POR,SF,7,0,156,8.5,.563,.375,.125,4.6,8.6,6.4,5.9,2.7,1.2,15.1,10.0,0.0,0.2,0.2,.066,-3.7,1.5,-2.2,0.0,
Cam Spencer,25,MEM,SG,9,1,155,16.9,.667,.815,.315,0.7,13.4,7.0,27.8,1.8,0.0,14.0,19.0,0.3,0.1,0.4,.139,3.0,0.3,3.4,0.2,
Bobby Portis,30,MIL,PF,8,0,155,8.9,.474,.397,.027,5.9,26.6,16.5,7.9,0.3,0.6,13.0,23.5,-0.3,0.1,-0.2,-0.047,-4.3,-3.6,-7.8,-0.2,
Walker Kessler,24,UTA,C,5,5,154,21.5,.786,.216,.541,16.1,21.3,18.8,15.6,2.2,6.1,25.9,16.5,0.3,0.2,0.6,.174,1.2,1.9,3.0,0.2,
Kristaps Porziņģis,30,ATL,C,6,6,153,21.8,.602,.378,.432,8.6,17.1,13.0,20.1,1.5,3.0,9.3,26.8,0.4,0.2,0.6,.177,2.7,-0.2,2.5,0.2,
Buddy Hield,33,GSW,SG,9,0,152,11.6,.578,.702,.105,2.3,7.6,4.9,14.9,1.9,0.0,11.8,19.0,0.1,0.1,0.2,.068,-2.0,-1.1,-3.1,0.0,
Norman Powell,32,MIA,SG,5,5,152,20.4,.673,.420,.565,2.2,15.5,9.1,10.2,2.4,0.6,14.0,27.3,0.3,0.2,0.5,.169,2.5,0.8,3.3,0.2,
Kyle Filipowski,22,UTA,C,8,5,151,9.1,.479,.440,.240,7.9,16.8,12.4,17.9,0.6,2.1,14.0,17.5,0.0,0.1,0.1,.032,-4.0,-0.5,-4.5,-0.1,
Malik Monk,27,SAC,SG,6,0,151,20.0,.687,.462,.246,0.8,6.8,3.8,14.0,1.9,2.4,8.9,22.2,0.4,0.1,0.5,.147,3.9,0.0,4.0,0.2,
Derik Queen,21,NOP,C,8,0,149,15.5,.546,.061,.571,8.7,24.6,16.0,10.7,3.3,2.8,16.4,20.8,0.0,0.2,0.2,.057,-3.8,0.5,-3.3,0.0,
Khris Middleton,34,WAS,SF,6,6,149,11.9,.565,.315,.259,6.1,12.6,9.3,12.8,1.2,0.6,13.0,19.1,0.1,0.0,0.1,.022,-2.9,-2.1,-5.0,-0.1,
Anthony Davis,32,DAL,PF,5,5,149,23.6,.587,.147,.413,11.9,23.1,17.5,14.3,2.5,3.1,11.0,28.3,0.2,0.3,0.5,.158,2.7,1.0,3.7,0.2,
Dalton Knecht,24,LAL,SF,8,1,147,7.3,.508,.571,.102,1.8,8.3,5.3,4.5,1.3,2.7,10.5,16.6,-0.1,0.1,0.0,-0.003,-3.9,-1.5,-5.4,-0.1,
Pelle Larsson,24,MIA,SG,8,5,147,13.5,.648,.575,.400,2.3,11.1,6.9,15.6,1.6,0.0,11.3,14.9,0.3,0.2,0.4,.141,-1.1,0.9,-0.2,0.1,
Corey Kispert,26,WAS,SF,8,0,146,11.2,.617,.660,.234,0.7,12.9,6.7,12.7,0.3,0.6,11.9,16.6,0.1,0.0,0.1,.029,-1.2,-2.5,-3.7,-0.1,
Miles McBride,25,NYK,SG,6,1,146,14.3,.573,.646,.125,5.5,8.2,6.7,15.9,2.0,0.7,5.6,15.1,0.3,0.1,0.5,.149,0.9,0.6,1.6,0.1,
De'Andre Hunter,28,CLE,SF,5,5,146,14.9,.539,.589,.384,3.8,18.2,10.8,15.9,1.3,0.7,9.5,26.8,0.1,0.2,0.3,.086,0.3,-0.5,-0.2,0.1,
Isaiah Jackson,24,IND,C,8,7,144,14.4,.600,.000,.378,12.2,21.2,16.3,7.7,1.0,1.9,16.0,17.4,0.1,0.2,0.3,.112,-4.1,-0.7,-4.7,-0.1,
Craig Porter Jr.,25,CLE,PG,8,0,144,13.8,.584,.500,.219,8.4,12.8,10.5,18.1,2.9,1.3,18.6,12.4,0.2,0.2,0.4,.119,-0.5,1.9,1.5,0.1,
Cole Anthony,25,MIL,PG,7,0,144,17.2,.580,.387,.194,3.2,14.3,8.9,35.7,1.6,2.5,15.1,23.6,0.2,0.1,0.4,.122,0.2,0.5,0.7,0.1,
Bruce Brown,29,DEN,SG,7,0,143,10.7,.560,.342,.132,7.5,14.6,11.3,11.2,2.0,1.3,16.6,14.1,0.1,0.2,0.3,.098,-2.5,0.6,-1.9,0.0,
Ace Bailey,19,UTA,SF,8,0,142,4.0,.383,.300,.160,8.4,9.7,9.0,11.4,0.7,0.7,14.4,18.1,-0.3,0.1,-0.2,-0.066,-6.9,-2.7,-9.5,-0.3,
