Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Jordan Hawkins,23,NOP,SG,7,0,101,4.9,.361,.514,.108,4.0,10.5,7.0,7.3,1.0,0.0,2.5,16.6,-0.1,0.0,-0.2,-0.074,-5.2,-3.2,-8.4,-0.2,
Quenton Jackson,27,IND,PG,5,3,101,21.2,.657,.324,.486,4.6,13.0,8.4,29.9,2.3,0.9,11.8,20.2,0.3,0.1,0.4,.202,2.7,2.1,4.8,0.2,
Nicolas Batum,37,LAC,PF,7,1,99,6.7,.409,.909,.000,6.0,14.5,10.4,7.8,2.5,3.1,12.0,11.0,-0.1,0.1,0.0,.013,-4.3,-0.1,-4.4,-0.1,
Javon Small,23,MEM,PG,7,0,99,8.7,.525,.679,.357,1.1,7.8,4.4,30.8,0.0,0.9,19.8,16.8,0.0,0.0,0.0,.009,-2.1,-2.9,-5.0,-0.1,
Tony Bradley,28,IND,C,8,0,98,17.4,.673,.042,.542,16.0,11.1,13.8,4.9,1.0,1.9,6.3,13.0,0.3,0.1,0.4,.188,-0.8,-1.0,-1.8,0.0,
Blake Wesley,22,POR,SG,6,0,98,12.4,.469,.294,.294,2.1,14.9,8.0,27.2,4.7,0.9,15.4,18.2,0.0,0.2,0.1,.071,-4.3,3.6,-0.7,0.0,
Isaiah Joe,26,OKC,SG,4,0,98,19.5,.670,.813,.167,3.4,11.8,7.7,6.5,1.0,0.0,5.5,24.1,0.3,0.1,0.4,.192,3.4,-3.1,0.3,0.1,
Jaylen Clark,24,MIN,SG,6,0,97,10.2,.491,.360,.320,10.9,8.1,9.5,8.2,2.5,0.0,6.6,13.7,0.1,0.0,0.1,.063,-3.6,-0.4,-3.9,0.0,
Trendon Watford,25,PHI,PF,5,0,97,16.4,.691,.192,.385,6.8,16.5,11.6,26.8,1.0,0.9,20.8,16.3,0.3,0.1,0.3,.158,0.5,0.6,1.1,0.1,
John Konchar,29,MEM,SG,7,0,96,13.2,.745,.647,.059,1.1,20.6,10.7,10.2,2.4,2.8,14.7,8.8,0.1,0.1,0.2,.113,-0.8,2.4,1.5,0.1,
Caris LeVert,31,DET,SG,5,0,95,4.4,.456,.433,.300,0.0,6.5,3.3,12.5,2.0,0.0,19.1,17.9,-0.2,0.1,-0.1,-0.038,-6.8,-1.5,-8.2,-0.2,
Bilal Coulibaly,21,WAS,SG,4,4,95,10.6,.480,.447,.342,4.3,16.5,10.3,19.3,1.9,3.8,18.6,23.3,-0.2,0.1,-0.1,-0.055,-3.4,-0.4,-3.8,0.0,
Chris Paul,40,LAC,PG,7,0,94,10.0,.357,.773,.045,6.4,8.2,7.3,36.7,4.2,0.0,23.8,13.6,0.0,0.1,0.1,.038,-3.3,0.9,-2.4,0.0,
Ben Saraf,19,BRK,SG,6,5,94,1.7,.356,.500,.308,2.2,12.9,7.1,22.6,1.0,0.0,23.4,17.0,-0.2,0.0,-0.3,-0.138,-7.9,-3.4,-11.3,-0.2,
Nique Clifford,23,SAC,SG,4,2,91,9.4,.503,.381,.095,6.2,12.4,9.3,11.0,1.6,3.0,8.4,11.2,0.0,0.1,0.1,.058,-2.7,0.0,-2.7,0.0,
Dillon Brooks,30,PHO,SF,3,3,91,12.5,.474,.525,.085,4.8,7.4,6.1,12.4,4.2,2.0,10.3,31.1,-0.1,0.1,-0.1,-0.027,-2.4,-0.5,-2.9,0.0,
Bones Hyland,25,MIN,PG,8,0,85,7.8,.537,.679,.071,1.4,9.3,5.4,19.4,2.3,0.0,21.7,18.9,-0.1,0.0,0.0,-0.020,-4.4,-0.7,-5.1,-0.1,
Justin Edwards,22,PHI,SF,7,1,85,5.4,.500,.690,.000,2.6,9.4,6.0,6.2,0.6,1.1,6.5,15.0,0.0,0.0,0.0,.018,-5.0,-2.5,-7.5,-0.1,
Brice Sensabaugh,22,UTA,SF,7,0,84,15.7,.627,.649,.324,0.0,20.2,10.2,10.1,1.7,1.2,10.6,23.1,0.1,0.1,0.2,.122,-0.9,-0.3,-1.2,0.0,
Brandon Williams,26,DAL,PG,6,0,84,12.4,.534,.286,.400,1.2,10.8,6.1,16.5,4.5,0.9,17.9,25.3,-0.2,0.2,0.0,.005,-5.4,2.9,-2.6,0.0,
Tidjane Salaün,20,CHO,PF,7,0,83,9.6,.508,.632,.316,7.2,26.1,17.1,7.6,1.1,1.1,12.2,12.3,0.0,0.1,0.1,.057,-3.1,-1.1,-4.2,0.0,
Jonas Valančiūnas,33,DEN,C,7,0,83,20.6,.585,.047,.349,12.9,29.0,21.4,12.8,0.6,5.8,13.9,29.1,0.1,0.2,0.3,.149,-2.3,0.1,-2.2,0.0,
Bradley Beal,32,LAC,SG,4,4,82,7.6,.579,.400,.240,2.9,2.7,2.8,10.6,1.2,0.0,17.8,17.8,0.0,0.0,0.0,-0.014,-5.3,-3.9,-9.2,-0.2,
Obi Toppin,27,IND,PF,3,0,82,12.1,.526,.472,.250,3.4,22.6,12.2,10.0,1.7,0.0,13.1,22.5,0.0,0.1,0.1,.036,-2.8,-0.6,-3.4,0.0,
Amir Coffey,28,MIL,SG,8,0,80,7.4,.568,.545,.273,4.3,8.1,6.3,8.7,0.0,1.1,7.5,7.1,0.1,0.0,0.1,.068,-2.2,-2.1,-4.3,0.0,
Nigel Hayes-Davis,31,PHO,SF,8,0,79,7.1,.531,.375,.000,6.9,8.5,7.7,6.7,2.4,0.0,20.0,10.5,0.0,0.0,0.0,.016,-4.5,-0.7,-5.2,-0.1,
Dwight Powell,34,DAL,C,7,0,78,11.0,.758,.000,1.889,8.0,11.7,9.9,7.2,1.2,2.0,23.3,11.7,0.1,0.1,0.3,.160,-5.2,1.1,-4.1,0.0,
Keaton Wallace,26,ATL,PG,7,0,78,13.8,.693,.588,.235,1.4,13.4,7.6,30.3,1.2,1.2,21.0,12.9,0.1,0.1,0.2,.131,0.2,0.1,0.3,0.0,
Rob Dillingham,21,MIN,PG,6,0,77,7.6,.480,.143,.179,0.0,5.8,3.0,29.1,3.2,0.0,24.9,22.7,-0.2,0.0,-0.1,-0.069,-7.6,-1.6,-9.2,-0.1,
Clint Capela,31,HOU,C,7,0,76,25.6,.748,.000,.588,27.0,26.1,26.5,5.5,1.3,6.4,12.3,13.3,0.3,0.2,0.5,.302,3.4,0.0,3.4,0.1,
Tyrese Proctor,21,CLE,PG,7,0,73,1.2,.335,.577,.077,1.5,7.9,4.6,12.9,2.6,0.0,15.7,18.1,-0.2,0.1,-0.2,-0.104,-10.5,-0.6,-11.0,-0.2,
Bennedict Mathurin,23,IND,SF,2,2,73,24.6,.730,.323,.839,3.8,16.4,9.6,12.2,0.0,0.0,10.5,26.1,0.3,0.1,0.4,.250,6.9,-0.6,6.3,0.1,
Jordan Goodwin,27,PHO,PG,5,0,72,8.8,.539,.714,.238,4.6,14.1,9.2,13.0,4.0,1.3,28.0,18.5,-0.1,0.1,0.0,-0.018,-5.2,0.6,-4.6,0.0,
Gabe Vincent,29,LAL,PG,3,3,72,3.7,.384,.769,.231,1.8,3.1,2.5,11.4,2.0,0.0,12.3,9.7,0.0,0.0,0.0,-0.002,-5.0,0.0,-5.0,-0.1,
Nick Richards,28,PHO,C,8,0,71,15.9,.612,.000,.400,13.9,22.2,18.0,6.2,1.3,3.9,19.2,21.3,0.1,0.1,0.1,.090,-4.2,-1.8,-6.0,-0.1,
Bronny James,21,LAL,SG,6,0,71,4.2,.302,.286,.143,3.7,4.7,4.2,18.2,3.4,1.4,21.2,11.4,-0.1,0.1,0.0,-0.024,-6.3,0.7,-5.6,-0.1,
Gary Payton II,33,GSW,SG,8,0,70,9.6,.528,.389,.000,8.2,18.2,13.2,14.3,2.0,2.6,21.7,14.0,0.0,0.1,0.1,.056,-5.0,0.8,-4.1,0.0,
Baylor Scheierman,25,BOS,SG,8,0,70,14.0,.804,.833,.083,4.5,24.1,14.0,3.7,2.1,0.0,7.4,8.2,0.2,0.1,0.3,.185,-0.5,1.7,1.2,0.1,
Jaden Hardy,23,DAL,SG,7,0,70,6.4,.464,.607,.179,0.0,10.1,5.1,4.4,2.0,0.0,6.2,19.5,-0.1,0.1,0.0,-0.012,-5.4,0.2,-5.2,-0.1,
Guerschon Yabusele,30,NYK,C,7,0,69,5.7,.371,.722,.111,16.0,13.9,15.1,1.8,0.7,1.6,9.6,12.4,0.0,0.1,0.0,.022,-5.3,-2.9,-8.2,-0.1,
Vince Williams Jr.,25,MEM,SG,4,0,68,15.8,.636,.667,.333,3.1,14.5,8.7,24.5,3.4,1.3,20.3,20.9,0.1,0.1,0.1,.104,-0.8,3.2,2.4,0.1,
Daniel Gafford,27,DAL,C,3,3,67,26.1,.795,.000,.300,12.4,12.1,12.2,10.8,2.8,5.8,8.1,15.6,0.3,0.1,0.4,.296,3.6,3.6,7.2,0.2,
Jordan McLaughlin,29,SAS,PG,7,0,64,11.8,.492,.778,.167,3.8,3.5,3.7,18.4,4.6,0.0,9.4,14.3,0.1,0.1,0.2,.140,-2.8,2.6,-0.2,0.0,
Chris Boucher,33,BOS,PF,6,0,64,7.2,.377,.526,.105,1.6,15.8,8.5,4.0,3.1,7.9,4.8,13.9,-0.1,0.1,0.0,.029,-6.9,2.8,-4.1,0.0,
Liam McNeeley,20,CHO,SF,6,0,64,7.1,.533,.583,.750,3.7,11.8,8.0,15.4,0.7,0.0,20.0,12.9,0.0,0.0,0.0,.032,-3.8,-1.6,-5.5,-0.1,
Vit Krejci,25,ATL,PG,4,0,64,11.6,.627,.667,.143,3.4,8.2,5.9,8.7,1.5,0.0,8.2,16.1,0.1,0.0,0.1,.091,-0.7,-0.2,-0.9,0.0,
Nick Smith Jr.,21,LAL,SG,4,0,64,13.2,.636,.444,.111,0.0,8.7,4.7,23.2,0.7,1.5,22.0,24.3,0.0,0.0,0.0,.017,0.7,-2.8,-2.2,0.0,
Bogdan Bogdanović,33,LAC,SG,3,2,63,1.5,.346,.647,.235,3.8,17.5,10.9,10.3,1.6,0.0,24.2,17.1,-0.2,0.0,-0.2,-0.139,-7.3,-2.1,-9.4,-0.1,
Xavier Tillman Sr.,27,BOS,C,7,0,61,15.9,.556,.444,.000,12.1,18.4,15.2,9.0,2.4,1.7,5.3,13.2,0.1,0.1,0.2,.166,0.3,1.0,1.3,0.1,
Tyler Kolek,24,NYK,PG,8,0,60,5.0,.457,.565,.000,3.4,6.0,4.6,23.2,0.8,0.0,20.7,19.9,-0.1,0.0,-0.1,-0.042,-5.6,-2.0,-7.6,-0.1,
Ja'Kobe Walter,21,TOR,SG,5,0,60,7.1,.526,.846,.385,5.7,11.2,8.4,7.8,1.6,1.6,16.5,12.7,0.0,0.1,0.1,.048,-4.5,-0.7,-5.2,0.0,
Jonathan Isaac,28,ORL,PF,7,0,59,8.8,.421,.643,.429,3.7,22.5,13.1,2.2,2.4,5.7,10.7,13.0,-0.1,0.1,0.0,.029,-5.4,1.0,-4.4,0.0,
Taelon Peter,23,IND,SG,6,0,58,5.3,.487,.909,.273,3.2,7.5,5.2,13.9,0.8,1.6,24.5,11.3,0.0,0.0,0.0,.003,-4.7,-0.7,-5.4,-0.1,
Justin Champagnie,24,WAS,SF,7,2,57,15.1,.580,.400,.600,17.8,12.8,15.3,4.7,0.8,0.0,5.0,14.4,0.2,0.0,0.1,.126,0.1,-3.4,-3.3,0.0,
Ousmane Dieng,22,OKC,C,6,0,57,3.6,.324,.538,.154,3.9,14.7,9.5,6.5,0.0,9.1,12.6,12.1,-0.1,0.1,0.0,-0.002,-7.3,0.1,-7.3,-0.1,
Caleb Martin,30,DAL,SF,7,0,55,4.7,.407,.308,.308,7.6,7.3,7.5,10.3,2.5,0.0,16.9,13.7,-0.1,0.1,0.0,.003,-7.4,0.0,-7.3,-0.1,
Elijah Harkless,25,UTA,SG,4,0,55,4.8,.487,.636,.273,3.9,5.8,4.9,10.1,2.6,0.0,19.6,11.4,0.0,0.0,0.0,.009,-6.3,1.2,-5.1,0.0,
Will Riley,19,WAS,SF,7,0,51,12.4,.541,.286,.429,0.0,22.5,11.1,16.4,1.8,0.0,10.7,15.1,0.0,0.0,0.0,.033,-2.2,-0.2,-2.4,0.0,
Trayce Jackson-Davis,25,GSW,C,5,0,51,13.1,.559,.000,.385,2.3,13.6,7.9,16.6,2.8,1.8,6.2,13.6,0.1,0.1,0.2,.147,-3.0,1.6,-1.4,0.0,
Dereck Lively II,21,DAL,C,3,3,51,16.8,.743,.000,.444,8.2,21.8,15.1,27.5,1.8,6.1,31.7,13.1,0.1,0.1,0.2,.162,-1.9,4.1,2.2,0.1,
Gui Santos,23,GSW,PF,8,0,50,4.1,.591,.727,.000,9.2,7.0,8.1,5.5,1.9,0.0,31.3,13.7,-0.1,0.0,0.0,-0.010,-6.7,-1.5,-8.2,-0.1,
Dominick Barlow,22,PHI,PF,2,2,50,12.2,.593,.400,.600,13.3,13.7,13.5,12.7,0.0,1.8,19.2,12.9,0.1,0.0,0.1,.096,-0.8,-1.0,-1.8,0.0,
Luke Kornet,30,SAS,C,2,0,50,20.5,.581,.000,.333,24.6,13.6,18.9,19.5,0.0,5.7,6.8,12.7,0.2,0.1,0.3,.246,3.2,0.9,4.1,0.1,
Brooks Barnhizer,23,OKC,SG,7,0,49,5.8,.500,.000,.000,4.5,15.0,9.9,2.6,1.0,0.0,0.0,7.1,0.0,0.1,0.1,.097,-5.6,0.2,-5.4,0.0,
Olivier-Maxence Prosper,23,MEM,PF,6,0,49,20.6,.766,.231,.923,10.8,20.1,15.4,3.1,1.0,0.0,14.1,17.9,0.2,0.0,0.2,.203,1.7,-1.9,-0.1,0.0,
Matisse Thybulle,28,POR,SG,4,0,49,21.2,.850,.600,.400,0.0,10.0,4.6,8.3,9.4,0.0,7.8,10.2,0.1,0.1,0.3,.278,0.1,10.4,10.5,0.2,
Mitchell Robinson,27,NYK,C,3,3,49,24.3,.524,.000,.091,39.0,17.1,29.0,10.9,1.0,10.9,14.9,11.3,0.2,0.1,0.2,.242,3.4,-1.8,1.6,0.0,
Jamison Battle,24,TOR,SF,6,0,48,24.6,1.059,.765,.000,2.4,14.0,8.2,3.2,1.0,2.0,15.0,17.5,0.1,0.0,0.2,.170,10.1,0.6,10.7,0.2,
Jordan Walsh,21,BOS,PF,5,0,48,14.9,.607,.500,.000,11.0,14.1,12.5,5.7,2.1,0.0,0.0,12.4,0.1,0.1,0.2,.181,0.0,-0.9,-0.9,0.0,
Paul Reed,26,DET,C,6,0,46,14.6,.611,.167,.000,13.5,13.4,13.4,6.6,3.1,6.3,25.0,21.2,0.0,0.1,0.1,.063,-3.7,2.0,-1.7,0.0,
Ariel Hukporti,23,NYK,C,5,2,46,10.3,.429,.000,.000,15.3,20.9,17.8,13.5,1.1,2.3,22.2,8.0,0.0,0.0,0.1,.091,-2.7,0.4,-2.3,0.0,
Kevon Looney,29,NOP,C,3,2,46,8.6,.370,.214,.143,10.8,20.6,15.3,19.4,0.0,6.8,16.8,16.4,-0.1,0.0,-0.1,-0.053,-6.3,-0.9,-7.2,-0.1,
Noah Penda,21,ORL,SF,5,0,45,16.5,.666,.182,.364,12.3,12.3,12.3,15.6,1.0,3.7,13.6,13.5,0.1,0.0,0.2,.177,0.8,-0.1,0.7,0.0,
Kevin Love,37,UTA,PF,3,0,45,11.3,.477,.875,1.000,9.6,25.9,17.8,32.7,0.0,0.0,25.8,14.2,0.0,0.0,0.1,.061,-1.2,1.3,0.1,0.0,
Bismack Biyombo,33,SAS,C,5,0,44,2.8,.500,.000,.000,5.6,7.7,6.7,5.5,3.3,0.0,50.0,3.9,0.0,0.1,0.1,.060,-7.4,1.8,-5.6,0.0,
Isaiah Livers,27,PHO,PF,5,0,44,8.5,.506,.889,.222,5.0,2.6,3.8,5.7,2.2,4.2,9.2,10.3,0.0,0.0,0.0,.047,-2.8,-0.6,-3.4,0.0,
Duop Reath,29,POR,C,5,0,44,17.3,.800,.933,.000,0.0,2.8,1.3,13.5,0.0,2.1,0.0,13.4,0.2,0.0,0.2,.204,6.9,-0.6,6.3,0.1,
Karlo Matković,24,NOP,PF,6,0,43,18.2,.595,.067,.400,11.6,19.2,15.1,8.5,0.0,4.8,5.4,18.3,0.1,0.0,0.1,.084,-0.8,-2.1,-2.9,0.0,
Pat Spencer,29,GSW,PG,5,0,43,11.4,.450,.167,.111,5.4,10.8,8.1,21.0,3.3,0.0,9.6,20.7,0.0,0.1,0.0,.042,-5.3,0.1,-5.1,0.0,
Branden Carlson,26,OKC,C,7,0,42,10.5,.563,.438,.000,2.6,22.5,12.8,7.1,0.0,2.5,11.1,18.6,0.0,0.1,0.1,.073,-4.9,-2.5,-7.4,-0.1,
Daniss Jenkins,24,DET,PG,4,0,41,11.0,.643,.300,.200,0.0,0.0,0.0,19.5,4.6,0.0,26.9,14.7,0.0,0.1,0.1,.080,-2.1,3.1,1.0,0.0,
Brandon Miller,23,CHO,SF,2,2,40,13.9,.493,.440,.400,0.0,0.0,0.0,32.0,1.2,2.3,9.3,33.5,0.0,0.0,0.0,.021,-3.8,-2.8,-6.6,0.0,
Tristan Vukcevic,22,WAS,C,7,0,39,11.5,.487,.353,.471,0.0,16.0,7.9,15.2,1.2,4.6,8.9,23.8,0.0,0.0,0.0,-0.022,-3.9,-0.3,-4.3,0.0,
Julian Phillips,22,CHI,SF,6,0,39,6.9,.409,.455,.000,3.0,2.6,2.8,3.2,3.6,2.1,0.0,11.8,0.0,0.1,0.0,.037,-5.3,1.4,-4.0,0.0,
Carter Bryant,20,SAS,PF,5,0,38,5.9,.490,.429,.214,0.0,11.9,6.2,0.0,2.6,2.5,16.4,20.7,-0.1,0.1,0.0,-0.010,-6.7,-1.0,-7.7,-0.1,
Cody Williams,21,UTA,SG,4,0,38,6.8,.750,.500,.000,2.8,8.4,5.6,8.0,0.0,2.7,27.3,11.9,0.0,0.0,0.0,.016,-4.0,-1.6,-5.6,0.0,
Chris Youngblood,23,OKC,SG,8,0,37,10.2,.593,.900,.600,3.0,11.3,7.3,3.5,0.0,0.0,0.0,14.8,0.1,0.0,0.1,.163,-3.3,-2.8,-6.1,0.0,
Johnny Furphy,21,IND,SG,3,0,37,4.9,.667,.500,.000,2.5,14.7,8.1,0.0,2.5,0.0,33.3,9.8,0.0,0.0,0.0,.007,-7.2,1.5,-5.7,0.0,
Kyle Anderson,32,UTA,SF,2,0,37,9.3,.533,.000,.500,2.9,5.7,4.3,20.6,1.3,0.0,14.1,15.8,0.0,0.0,0.0,.039,-3.8,0.0,-3.9,0.0,
Micah Peavy,24,NOP,SG,4,0,36,6.5,.368,.400,.200,8.3,13.1,10.5,11.9,1.4,0.0,8.4,13.9,0.0,0.0,0.0,-0.038,-4.7,-1.9,-6.5,0.0,
Jeremiah Robinson-Earl,25,IND,PF,3,0,36,15.7,.402,.250,.083,20.5,27.3,23.6,8.1,1.3,0.0,0.0,13.9,0.0,0.0,0.1,.115,-0.1,-2.3,-2.3,0.0,
Mac McClung,27,IND,SG,3,0,34,13.3,.481,.556,.222,0.0,12.8,5.9,5.0,6.9,2.8,9.2,25.7,-0.1,0.1,0.0,.037,-5.7,6.0,0.3,0.0,
Jonathan Mogbo,24,TOR,PF,6,0,33,12.4,.500,.000,.000,10.3,20.3,15.4,14.6,1.4,5.7,14.3,8.9,0.0,0.0,0.1,.117,-1.5,1.8,0.2,0.0,
Dylan Cardwell,24,SAC,C,3,1,33,2.7,.363,.167,.333,6.9,10.3,8.6,0.0,2.9,8.3,22.5,11.4,-0.1,0.0,0.0,-0.046,-12.0,0.5,-11.6,-0.1,
Nolan Traoré,19,BRK,PG,3,0,33,1.6,.354,.667,.222,0.0,3.7,1.7,16.0,2.9,0.0,16.8,14.9,-0.1,0.0,-0.1,-0.111,-9.2,-2.6,-11.8,-0.1,
Devin Carter,23,SAC,PG,5,0,32,7.1,.340,.600,.400,7.1,7.1,7.1,10.8,4.4,2.8,25.4,10.5,0.0,0.0,0.0,-0.010,-5.1,2.7,-2.5,0.0,
Chaz Lanier,24,DET,SG,5,0,32,8.0,.500,.818,.000,3.2,0.0,1.6,8.4,1.5,0.0,8.3,15.2,0.0,0.0,0.0,.039,0.1,-1.0,-0.9,0.0,
Asa Newell,20,ATL,PF,4,0,31,15.2,.612,.538,.154,24.8,10.1,17.3,4.7,0.0,0.0,12.6,21.6,0.1,0.0,0.1,.115,1.0,-4.3,-3.3,0.0,
Maxime Raynaud,22,SAC,C,3,0,31,7.4,.444,.200,.800,7.3,21.9,14.6,7.5,1.5,2.9,22.8,12.0,0.0,0.0,0.0,.004,-5.7,-0.8,-6.5,0.0,
Charles Bassey,25,MEM,C,2,0,31,12.7,.376,.000,.375,24.0,28.3,26.1,8.9,1.5,2.9,9.7,13.7,0.0,0.0,0.0,.069,-3.4,-1.5,-4.9,0.0,
Jett Howard,22,ORL,SF,6,0,30,5.6,.450,.900,.000,3.7,3.7,3.7,13.4,0.0,2.8,9.1,15.1,0.0,0.0,0.0,.014,-2.2,-1.8,-4.0,0.0,
Pat Connaughton,33,CHO,SG,4,0,30,11.9,.689,.556,.111,0.0,7.2,3.8,9.4,0.0,3.1,9.6,14.4,0.0,0.0,0.0,.075,0.4,-1.4,-0.9,0.0,
Robert Williams,28,POR,C,3,0,30,19.8,.672,.143,.143,17.2,20.3,18.6,14.5,1.5,3.0,0.0,9.8,0.1,0.0,0.1,.233,2.8,1.2,4.0,0.0,
KJ Simpson,23,CHO,PG,2,0,30,10.8,.588,.455,.364,11.9,14.4,13.2,18.8,1.6,0.0,28.2,24.5,0.0,0.0,0.0,-0.009,-4.1,-1.9,-6.1,0.0,
Yang Hansen,20,POR,C,5,0,29,1.7,.387,.333,.667,10.7,4.2,7.7,0.0,0.0,6.2,20.5,19.9,-0.1,0.0,-0.1,-0.111,-10.8,-3.3,-14.2,-0.1,
Jase Richardson,20,ORL,SG,6,0,28,-1.9,.255,.600,.400,0.0,4.0,2.0,22.1,0.0,0.0,33.8,13.1,-0.1,0.0,-0.1,-0.151,-7.5,-3.4,-10.8,-0.1,
Thomas Bryant,28,CLE,C,5,0,28,6.9,.350,.455,.091,11.8,12.4,12.0,5.1,1.7,6.9,8.0,18.4,-0.1,0.0,0.0,-0.040,-8.4,-1.0,-9.3,-0.1,
Dario Šarić,31,SAC,C,3,0,28,5.1,.425,.400,.400,4.0,16.2,10.1,8.3,0.0,0.0,14.5,10.4,0.0,0.0,0.0,-0.019,-3.1,-2.1,-5.3,0.0,
Jae'Sean Tate,30,HOU,SF,4,0,27,-0.4,.333,.333,.000,0.0,15.5,8.3,0.0,1.8,0.0,10.0,15.4,-0.1,0.0,0.0,-0.068,-12.0,-2.2,-14.2,-0.1,
Ryan Nembhard,22,DAL,PG,3,0,27,3.2,.506,.222,.222,3.9,0.0,1.9,29.4,0.0,0.0,33.6,23.3,-0.1,0.0,-0.1,-0.138,-6.0,-4.9,-10.9,-0.1,
AJ Johnson,21,WAS,SG,6,0,26,1.9,.218,.000,.333,7.8,8.0,7.9,9.4,0.0,0.0,0.0,10.9,0.0,0.0,-0.1,-0.102,-6.2,-4.1,-10.3,-0.1,
Aaron Holiday,29,HOU,PG,4,0,26,11.6,.781,.571,.429,0.0,12.1,6.5,21.1,0.0,0.0,32.5,19.7,0.0,0.0,0.0,.086,-2.3,-2.4,-4.7,0.0,
Caleb Love,24,POR,SG,3,0,26,8.2,.333,.600,.000,4.0,32.8,17.2,32.8,0.0,0.0,6.3,24.2,0.0,0.0,0.0,-0.040,-3.4,-3.1,-6.5,0.0,
Darius Garland,26,CLE,PG,1,1,26,-0.7,.364,.636,.000,4.2,4.4,4.3,21.3,0.0,0.0,21.4,22.3,-0.1,0.0,-0.1,-0.162,-9.7,-5.9,-15.6,-0.1,
Cam Christie,20,LAC,SG,4,0,25,15.1,.549,.545,.364,9.6,17.6,13.8,5.9,0.0,0.0,7.3,23.9,0.0,0.0,0.0,.062,2.8,-4.4,-1.6,0.0,
Rayan Rupert,21,POR,SG,4,0,25,9.2,.500,.600,.000,4.1,19.5,11.2,10.3,3.7,0.0,16.7,9.4,0.0,0.0,0.0,.077,-3.6,1.6,-2.0,0.0,
Luke Travers,24,CLE,SG,3,0,24,-2.9,.113,.375,.250,9.1,14.4,11.7,9.9,0.0,4.0,10.1,17.1,-0.1,0.0,-0.1,-0.211,-11.1,-3.5,-14.6,-0.1,
Khaman Maluach,19,PHO,C,4,0,23,12.9,.731,.250,2.000,4.8,4.9,4.8,5.6,0.0,8.0,21.0,17.2,0.1,0.0,0.1,.120,-5.2,0.1,-5.1,0.0,
Dalen Terry,23,CHI,SG,4,0,23,3.7,.357,.286,.000,0.0,4.4,2.4,10.5,0.0,7.0,0.0,12.7,0.0,0.0,0.0,.001,-6.0,0.4,-5.6,0.0,
Sidy Cissoko,21,POR,SF,3,0,23,14.8,.644,.333,.667,13.5,10.6,12.2,11.3,4.0,0.0,0.0,6.6,0.1,0.0,0.1,.203,-0.3,2.6,2.3,0.0,
DeAndre Jordan,37,NOP,C,2,1,23,19.1,.765,.000,.400,17.3,30.8,23.5,0.0,0.0,0.0,14.5,12.6,0.1,0.0,0.1,.132,1.8,-3.6,-1.8,0.0,
Jeremy Sochan,22,SAS,PF,1,0,23,24.3,.913,.286,.571,5.4,4.9,5.1,0.0,2.1,0.0,0.0,16.3,0.1,0.0,0.2,.331,5.0,2.3,7.3,0.1,
Jericho Sims,27,MIL,C,5,0,22,10.1,.906,.000,4.000,10.4,9.9,10.1,0.0,0.0,4.1,26.6,7.3,0.0,0.0,0.1,.118,-3.1,-2.5,-5.5,0.0,
Moussa Cisse,23,DAL,C,4,0,22,3.1,.500,.000,.000,9.5,0.0,4.7,0.0,2.1,3.5,33.3,11.5,0.0,0.0,0.0,-0.028,-10.1,-0.5,-10.6,0.0,
Julian Strawther,23,DEN,SG,4,0,22,9.4,.514,.600,.600,0.0,19.0,10.1,12.1,0.0,0.0,13.7,27.9,0.0,0.0,0.0,-0.016,-5.1,-3.6,-8.7,0.0,
Kobe Brown,26,LAC,PF,4,0,21,9.0,.410,.750,.500,5.7,15.7,10.9,24.2,0.0,0.0,17.0,12.2,0.0,0.0,0.0,.018,-1.5,-1.2,-2.7,0.0,
Malaki Branham,22,WAS,SG,2,0,21,22.4,.705,.500,.750,4.8,14.9,9.8,0.0,0.0,0.0,0.0,20.9,0.1,0.0,0.1,.170,4.5,-2.9,1.6,0.0,
Yanic Konan Niederhauser,22,LAC,C,4,0,20,29.7,.788,.000,1.333,17.9,11.0,14.3,17.1,0.0,0.0,9.5,22.9,0.1,0.0,0.1,.293,5.8,-1.5,4.3,0.0,
GG Jackson II,21,MEM,PF,3,0,20,0.5,.282,.500,.250,5.3,5.5,5.4,0.0,2.3,0.0,0.0,18.3,-0.1,0.0,-0.1,-0.140,-9.5,-4.2,-13.7,-0.1,
Keshad Johnson,24,MIA,SF,3,0,20,2.3,.318,.545,.000,0.0,25.6,13.3,0.0,4.6,0.0,8.3,24.8,-0.1,0.0,-0.1,-0.167,-12.4,-1.1,-13.5,-0.1,
James Wiseman,24,IND,C,1,1,20,5.4,.667,.000,.000,18.5,0.0,10.0,0.0,0.0,4.7,50.0,12.0,0.0,0.0,0.0,-0.054,-9.2,-4.3,-13.5,-0.1,
Rasheer Fleming,21,PHO,PF,4,0,19,6.0,.278,.556,.000,17.3,5.9,11.7,13.9,2.5,0.0,0.0,19.6,0.0,0.0,0.0,-0.044,-6.0,-4.5,-10.5,0.0,
PJ Hall,23,MEM,C,4,0,19,19.9,.765,.400,.400,11.2,23.1,17.0,7.9,0.0,9.5,14.5,14.9,0.1,0.0,0.1,.194,0.2,0.9,1.1,0.0,
