Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Cody Martin,30,IND,,1,0,8.0,1.0,3.0,.333,0.0,2.0,.000,1.0,1.0,1.000,.333,0.0,0.0,,0.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,
Zeke Nnaji,25,DEN,PF,3,0,3.7,0.7,1.3,.500,0.0,0.7,.000,0.7,0.7,1.000,.500,0.7,0.7,1.000,0.3,0.0,0.3,0.3,0.0,0.0,0.3,1.3,2.0,
Micah Peavy,24,NOP,SG,4,0,9.0,0.8,2.5,.300,0.3,1.0,.250,0.5,1.5,.333,.350,0.3,0.5,.500,0.8,1.0,1.8,0.8,0.3,0.0,0.3,0.8,2.0,
Taelon Peter,23,IND,SG,6,0,9.7,0.5,1.8,.273,0.5,1.7,.300,0.0,0.2,.000,.409,0.5,0.5,1.000,0.3,0.7,1.0,1.0,0.2,0.2,0.7,0.5,2.0,
Drake Powell,20,BRK,SG,2,0,6.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.5,2.0,2.0,
Maxime Raynaud,22,SAC,C,3,0,10.3,0.3,1.7,.200,0.0,0.3,.000,0.3,1.3,.250,.200,1.3,1.3,1.000,0.7,2.0,2.7,0.7,0.3,0.3,0.7,1.0,2.0,
Guerschon Yabusele,30,NYK,C,7,0,9.9,0.7,2.6,.278,0.4,1.9,.231,0.3,0.7,.400,.361,0.1,0.3,.500,1.6,1.1,2.7,0.1,0.1,0.1,0.3,1.6,2.0,
Chris Youngblood,23,OKC,SG,8,0,4.6,0.4,1.3,.300,0.4,1.1,.333,0.0,0.1,.000,.450,0.8,0.8,1.000,0.1,0.5,0.6,0.1,0.0,0.0,0.0,0.6,1.9,
Amir Coffey,28,MIL,SG,8,0,10.0,0.6,1.4,.455,0.1,0.8,.167,0.5,0.6,.800,.500,0.4,0.4,1.000,0.4,0.8,1.1,0.8,0.0,0.1,0.1,0.4,1.8,
Yang Hansen,20,POR,C,5,0,5.8,0.4,1.8,.222,0.0,0.6,.000,0.4,1.2,.333,.222,1.0,1.2,.833,0.6,0.2,0.8,0.0,0.0,0.4,0.6,0.8,1.8,
Dylan Cardwell,24,SAC,C,3,1,11.0,0.7,2.0,.333,0.0,0.3,.000,0.7,1.7,.400,.333,0.3,0.7,.500,0.7,1.0,1.7,0.0,0.7,1.0,0.7,3.3,1.7,
Sidy Cissoko,21,POR,SF,3,0,7.7,0.7,1.0,.667,0.0,0.3,.000,0.7,0.7,1.000,.667,0.3,0.7,.500,1.0,0.7,1.7,0.7,0.7,0.0,0.0,1.3,1.7,
Harrison Ingram,23,SAS,SF,3,0,3.7,0.7,1.0,.667,0.3,0.3,1.000,0.3,0.7,.500,.833,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,1.7,
GG Jackson II,21,MEM,PF,3,0,6.7,0.7,2.7,.250,0.0,1.3,.000,0.7,1.3,.500,.250,0.3,0.7,.500,0.3,0.3,0.7,0.0,0.3,0.0,0.0,0.7,1.7,
Caleb Martin,30,DAL,SF,7,0,7.9,0.6,1.9,.308,0.1,0.6,.250,0.4,1.3,.333,.346,0.4,0.6,.750,0.6,0.6,1.1,0.6,0.4,0.0,0.4,1.4,1.7,
Dario Šarić,31,SAC,C,3,0,9.3,0.3,1.7,.200,0.3,0.7,.500,0.0,1.0,.000,.300,0.7,0.7,1.000,0.3,1.3,1.7,0.7,0.0,0.0,0.3,0.0,1.7,
Thomas Bryant,28,CLE,C,5,0,5.6,0.8,2.2,.364,0.0,1.0,.000,0.8,1.2,.667,.364,0.0,0.2,.000,0.6,0.6,1.2,0.2,0.2,0.4,0.2,0.8,1.6,
Gui Santos,23,GSW,PF,8,0,6.3,0.6,1.4,.455,0.4,1.0,.375,0.3,0.4,.667,.591,0.0,0.0,,0.5,0.4,0.9,0.3,0.3,0.0,0.6,1.3,1.6,
Ousmane Dieng,22,OKC,C,6,0,9.5,0.5,2.2,.231,0.2,1.2,.143,0.3,1.0,.333,.269,0.3,0.3,1.000,0.3,1.3,1.7,0.5,0.0,0.8,0.3,1.3,1.5,
Anthony Gill,33,WAS,PF,4,0,2.8,0.5,0.8,.667,0.0,0.0,,0.5,0.8,.667,.667,0.5,0.5,1.000,0.3,0.8,1.0,0.0,0.0,0.0,0.3,0.3,1.5,
DaRon Holmes,23,DEN,PF,2,0,2.0,0.5,0.5,1.000,0.5,0.5,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,
Jett Howard,22,ORL,SF,6,0,5.0,0.5,1.7,.300,0.5,1.5,.333,0.0,0.2,.000,.450,0.0,0.0,,0.2,0.2,0.3,0.5,0.0,0.2,0.2,0.5,1.5,
Bronny James,21,LAL,SG,6,0,11.8,0.5,2.3,.214,0.2,0.7,.250,0.3,1.7,.200,.250,0.3,0.3,1.000,0.3,0.5,0.8,1.8,0.8,0.2,0.7,1.7,1.5,
Leonard Miller,22,MIN,SF,4,0,3.3,0.8,1.3,.600,0.0,0.3,.000,0.8,1.0,.750,.600,0.0,0.0,,0.0,0.8,0.8,0.0,0.3,0.0,0.3,0.5,1.5,
Julian Phillips,22,CHI,SF,6,0,6.5,0.7,1.8,.364,0.2,0.8,.200,0.5,1.0,.500,.409,0.0,0.0,,0.2,0.2,0.3,0.2,0.5,0.2,0.0,0.7,1.5,
Jae'Sean Tate,30,HOU,SF,4,0,6.8,0.8,2.3,.333,0.0,0.8,.000,0.8,1.5,.500,.333,0.0,0.0,,0.0,1.0,1.0,0.0,0.3,0.0,0.3,1.0,1.5,
Rasheer Fleming,21,PHO,PF,4,0,4.8,0.5,2.3,.222,0.3,1.3,.200,0.3,1.0,.250,.278,0.0,0.0,,0.8,0.3,1.0,0.5,0.3,0.0,0.0,0.8,1.3,
Johnny Juzang,24,MIN,SG,3,0,2.3,0.3,1.3,.250,0.3,1.0,.333,0.0,0.3,.000,.375,0.3,0.7,.500,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.3,1.3,
Bryce McGowens,23,NOP,SG,3,0,4.0,0.0,0.7,.000,0.0,0.3,.000,0.0,0.3,.000,.000,1.3,1.3,1.000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,
Rayan Rupert,21,POR,SG,4,0,6.3,0.5,1.3,.400,0.3,0.8,.333,0.3,0.5,.500,.500,0.0,0.0,,0.3,1.0,1.3,0.5,0.5,0.0,0.3,0.5,1.3,
Dalen Terry,23,CHI,SG,4,0,5.8,0.5,1.8,.286,0.3,0.5,.500,0.3,1.3,.200,.357,0.0,0.0,,0.0,0.3,0.3,0.5,0.0,0.5,0.0,1.0,1.3,
Ariel Hukporti,23,NYK,C,5,2,9.2,0.6,1.4,.429,0.0,0.0,,0.6,1.4,.429,.429,0.0,0.0,,1.4,1.6,3.0,1.0,0.2,0.2,0.4,1.2,1.2,
Brooks Barnhizer,23,OKC,SG,7,0,7.0,0.6,1.1,.500,0.0,0.0,,0.6,1.1,.500,.500,0.0,0.0,,0.3,1.0,1.3,0.1,0.1,0.0,0.0,1.0,1.1,
Kobe Brown,26,LAC,PF,4,0,5.3,0.3,1.0,.250,0.0,0.8,.000,0.3,0.3,1.000,.250,0.5,0.5,1.000,0.3,0.8,1.0,1.0,0.0,0.0,0.3,0.0,1.0,
Moussa Cisse,23,DAL,C,4,0,5.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.5,0.0,0.5,0.0,0.3,0.3,0.5,1.0,1.0,
N'Faly Dante,24,ATL,C,3,0,4.7,0.3,1.3,.250,0.0,0.0,,0.3,1.3,.250,.250,0.3,0.3,1.000,1.0,1.3,2.3,0.0,0.7,0.0,0.3,0.3,1.0,
Ron Harper Jr.,25,BOS,SF,2,0,5.5,0.5,2.5,.200,0.0,2.0,.000,0.5,0.5,1.000,.200,0.0,0.0,,0.5,1.0,1.5,1.5,0.0,0.0,0.0,0.5,1.0,
Isaac Jones,25,SAC,PF,3,1,5.7,0.3,0.7,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.3,0.7,.500,0.7,0.0,0.7,0.3,0.0,0.0,0.0,1.3,1.0,
Jonathan Mogbo,24,TOR,PF,6,0,5.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.5,1.0,1.5,0.7,0.2,0.3,0.2,0.7,1.0,
Kobe Sanders,23,LAC,SG,2,0,4.5,0.5,2.0,.250,0.0,0.5,.000,0.5,1.5,.333,.250,0.0,0.0,,0.0,0.5,0.5,0.5,1.0,0.0,0.5,0.0,1.0,
Jericho Sims,27,MIL,C,5,0,4.4,0.2,0.2,1.000,0.0,0.0,,0.2,0.2,1.000,1.000,0.6,0.8,.750,0.4,0.4,0.8,0.0,0.0,0.2,0.2,0.4,1.0,
Jacob Toppin,25,ATL,SF,2,0,3.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,
Amari Williams,24,BOS,PF,2,0,3.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.5,1.0,
Jahmir Young,25,MIA,PG,2,0,5.0,0.5,1.5,.333,0.0,0.5,.000,0.5,1.0,.500,.333,0.0,0.0,,0.0,0.5,0.5,1.0,0.0,0.0,0.5,1.0,1.0,
Joan Beringer,19,MIN,PF,5,0,3.0,0.4,0.6,.667,0.0,0.0,,0.4,0.6,.667,.667,0.0,0.0,,0.2,0.8,1.0,0.0,0.0,0.0,0.0,0.4,0.8,
Devin Carter,23,SAC,PG,5,0,6.4,0.2,1.0,.200,0.0,0.6,.000,0.2,0.4,.500,.200,0.4,0.4,1.000,0.4,0.4,0.8,0.6,0.6,0.2,0.4,0.6,0.8,
Gary Harris,31,MIL,SG,3,0,4.3,0.3,1.0,.333,0.0,0.3,.000,0.3,0.7,.500,.333,0.0,0.0,,0.3,0.3,0.7,0.7,0.3,0.0,0.0,0.7,0.7,
Mason Plumlee,35,CHO,C,3,0,4.0,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,0.3,0.0,0.0,0.3,0.3,0.7,
Hunter Sallis,22,PHI,SG,3,0,2.3,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.7,0.3,0.7,
Luke Travers,24,CLE,SG,3,0,8.0,0.0,2.7,.000,0.0,1.0,.000,0.0,1.7,.000,.000,0.7,0.7,1.000,0.7,1.0,1.7,0.7,0.0,0.3,0.3,0.3,0.7,
Mohamed Diawara,20,NYK,SF,4,0,2.0,0.3,0.5,.500,0.0,0.0,,0.3,0.5,.500,.500,0.0,0.5,.000,0.0,0.3,0.3,0.3,0.0,0.0,0.3,0.5,0.5,
AJ Johnson,21,WAS,SG,6,0,4.3,0.2,1.0,.167,0.0,0.0,,0.2,1.0,.167,.167,0.2,0.3,.500,0.3,0.3,0.7,0.3,0.0,0.0,0.0,0.2,0.5,
Spencer Jones,24,DEN,SF,4,0,3.8,0.3,0.8,.333,0.0,0.5,.000,0.3,0.3,1.000,.333,0.0,0.0,,0.3,0.0,0.3,0.0,0.5,0.0,1.0,0.8,0.5,
Jase Richardson,20,ORL,SG,6,0,4.7,0.2,0.8,.200,0.0,0.5,.000,0.2,0.3,.500,.200,0.2,0.3,.500,0.0,0.2,0.2,0.8,0.0,0.0,0.5,0.2,0.5,
Bismack Biyombo,33,SAS,C,5,0,8.8,0.2,0.4,.500,0.0,0.0,,0.2,0.4,.500,.500,0.0,0.0,,0.4,0.6,1.0,0.4,0.6,0.0,0.4,1.8,0.4,
Thanasis Antetokounmpo,33,MIL,SF,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jevon Carter,30,CHI,PG,1,0,12.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,
Sharife Cooper,24,WAS,PG,2,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,
Pacome Dadiet,20,NYK,SG,3,0,2.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.3,0.0,
Tyson Etienne,26,BRK,PG,1,0,5.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Caleb Houstan,23,ATL,SF,3,0,1.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Joe Ingles,38,MIN,SF,3,0,2.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,
Andre Jackson Jr.,24,MIL,SG,3,0,4.3,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.3,0.0,0.3,0.7,0.7,0.0,0.0,0.0,0.0,
Trey Jemison,26,NYK,C,1,0,8.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
Miles Kelly,23,DAL,PG,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
Christian Koloko,25,LAL,C,2,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,
Chris Mañon,24,LAL,SG,2,0,3.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,
Jared McCain,21,PHI,SG,1,0,15.0,0.0,4.0,.000,0.0,2.0,.000,0.0,2.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,
Orlando Robinson,25,ORL,C,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Jahmyl Telfort,24,LAC,PF,2,0,4.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,
Nae'Qwan Tomlin,25,CLE,PF,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hunter Tyson,25,DEN,PF,2,0,3.5,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.5,0.0,
Jamir Watkins,24,WAS,SG,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Danny Wolf,21,BRK,PF,1,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,
