Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Andrew Nembhard,26,IND,PG,1,1,17.0,0.0,5.0,.000,0.0,2.0,.000,0.0,3.0,.000,.000,4.0,4.0,1.000,0.0,1.0,1.0,4.0,0.0,0.0,2.0,2.0,4.0,
Kelly Olynyk,34,SAS,C,1,0,9.0,2.0,2.0,1.000,0.0,0.0,,2.0,2.0,1.000,1.000,0.0,0.0,,2.0,2.0,4.0,3.0,0.0,0.0,1.0,3.0,4.0,
Mitchell Robinson,27,NYK,C,3,3,16.3,2.0,3.7,.545,0.0,0.0,,2.0,3.7,.545,.545,0.0,0.3,.000,6.3,2.3,8.7,1.3,0.3,1.7,0.7,1.7,4.0,
Mark Sears,23,MIL,PG,2,0,6.0,0.5,2.0,.250,0.5,1.0,.500,0.0,1.0,.000,.375,2.5,3.0,.833,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,4.0,
James Wiseman,24,IND,C,1,1,20.0,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,0.0,0.0,,4.0,0.0,4.0,0.0,0.0,1.0,3.0,2.0,4.0,
Bones Hyland,25,MIN,PG,8,0,10.6,1.5,3.5,.429,0.8,2.4,.316,0.8,1.1,.667,.536,0.1,0.3,.500,0.1,0.9,1.0,1.5,0.5,0.0,1.0,1.5,3.9,
Terrence Shannon Jr.,25,MIN,SG,7,0,16.4,1.3,4.0,.321,0.6,1.6,.364,0.7,2.4,.294,.393,0.7,1.0,.714,0.4,2.0,2.4,1.1,0.6,0.0,0.9,1.6,3.9,
Yanic Konan Niederhauser,22,LAC,C,4,0,5.0,1.3,1.5,.833,0.0,0.0,,1.3,1.5,.833,.833,1.3,2.0,.625,0.8,0.5,1.3,0.5,0.0,0.0,0.3,0.5,3.8,
John Konchar,29,MEM,SG,7,0,13.7,1.4,2.4,.588,0.7,1.6,.455,0.7,0.9,.833,.735,0.1,0.1,1.000,0.1,2.6,2.7,1.0,0.7,0.4,0.4,0.7,3.7,
Kevon Looney,29,NOP,C,3,2,15.3,1.7,4.7,.357,0.0,1.0,.000,1.7,3.7,.455,.357,0.3,0.7,.500,1.7,2.7,4.3,2.0,0.0,1.0,1.0,2.0,3.7,
Kevin Love,37,UTA,PF,3,0,15.0,0.7,2.7,.250,0.3,2.3,.143,0.3,0.3,1.000,.313,2.0,2.7,.750,1.3,3.7,5.0,3.7,0.0,0.0,1.3,1.3,3.7,
Paul Reed,26,DET,C,6,0,7.7,1.7,3.0,.556,0.3,0.5,.667,1.3,2.5,.533,.611,0.0,0.0,,1.0,1.0,2.0,0.3,0.5,0.5,1.0,1.7,3.7,
Gabe Vincent,29,LAL,PG,3,3,24.0,1.0,4.3,.231,0.7,3.3,.200,0.3,1.0,.333,.308,1.0,1.0,1.000,0.3,0.7,1.0,2.3,1.0,0.0,0.7,2.3,3.7,
Keaton Wallace,26,ATL,PG,7,0,11.1,1.3,2.4,.529,0.9,1.4,.600,0.4,1.0,.429,.706,0.3,0.6,.500,0.1,1.4,1.6,2.6,0.3,0.1,0.7,1.1,3.7,
Hugo González,19,BOS,SF,7,1,14.4,1.6,3.7,.423,0.4,1.1,.375,1.1,2.6,.444,.481,0.0,0.0,,0.7,1.3,2.0,0.7,0.9,0.1,0.3,2.3,3.6,
Dwight Powell,34,DAL,C,7,0,11.1,0.7,1.3,.556,0.0,0.0,,0.7,1.3,.556,.556,2.1,2.4,.882,0.9,1.3,2.1,0.6,0.3,0.3,0.7,2.4,3.6,
Charles Bassey,25,MEM,C,2,0,15.5,1.5,4.0,.375,0.0,0.0,,1.5,4.0,.375,.375,0.5,1.5,.333,3.5,4.0,7.5,1.0,0.5,0.5,0.5,2.5,3.5,
Cam Christie,20,LAC,SG,4,0,6.3,1.0,2.8,.364,0.8,1.5,.500,0.3,1.3,.200,.500,0.8,1.0,.750,0.5,1.0,1.5,0.3,0.0,0.0,0.3,0.0,3.5,
Daniss Jenkins,24,DET,PG,4,0,10.3,1.3,2.5,.500,0.5,0.8,.667,0.8,1.8,.429,.600,0.5,0.5,1.000,0.0,0.0,0.0,1.5,1.0,0.0,1.0,1.0,3.5,
Karlo Matković,24,NOP,PF,6,0,7.2,1.7,2.5,.667,0.0,0.2,.000,1.7,2.3,.714,.667,0.2,1.0,.167,0.8,1.2,2.0,0.3,0.0,0.3,0.2,0.8,3.5,
Ben Saraf,19,BRK,SG,6,5,15.7,1.0,4.3,.231,0.5,2.2,.231,0.5,2.2,.231,.288,1.0,1.3,.750,0.3,1.7,2.0,2.7,0.3,0.0,1.5,2.2,3.5,
Trayce Jackson-Davis,25,GSW,C,5,0,10.2,1.2,2.6,.462,0.0,0.0,,1.2,2.6,.462,.462,1.0,1.0,1.000,0.2,1.2,1.4,1.2,0.6,0.2,0.2,1.4,3.4,
Noah Penda,21,ORL,SF,5,0,9.0,1.2,2.2,.545,0.4,0.4,1.000,0.8,1.8,.444,.636,0.6,0.8,.750,1.0,1.0,2.0,1.0,0.2,0.4,0.4,1.2,3.4,
