Player
Giannis Antetokounmpo
Shai Gilgeous-Alexander
Nikola Jokić
Jayson Tatum
Donovan Mitchell
Anthony Edwards
LeBron James
Stephen Curry
Evan Mobley
Jalen Brunson
Cade Cunningham
Karl-Anthony Towns
Tyrese Haliburton
Jalen Williams
James Harden
