Player
Shai Gilgeous-Alexander
Nikola Jokić
Luka Dončić
Giannis Antetokounmpo
Jayson Tatum
Jalen Brunson
Anthony Edwards
Kevin Durant
Kawhi Leonard
Anthony Davis
LeBron James
Stephen Curry
Domantas Sabonis
Tyrese Haliburton
Devin Booker
